Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__JAMOAD01
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__JdFR-78
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__S016-38
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__UBA2199
Root; d__Bacteria; p__Acidobacteriota; c__B3-B38; o__B3-B38
Root; d__Bacteria; p__Acidobacteriota; c__B3-B38; o__JAFGBY01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Chloracidobacteriales
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__HR10
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__RBC074
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Root; d__Bacteria; p__Acidobacteriota; c__CAIWXX01; o__CAIWXX01
