sample	coverage	taxonomy
SRR9841429	2.33	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606; g__VXYK01; s__VXYK01 sp009845995
SRR9841429	76.48	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__TK06; g__WTFX01; s__WTFX01 sp009843525
SRR9841429	6.64	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__Bin134; g__VXNF01; s__VXNF01 sp009840735
SRR9841429	20.26	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__Bin134; g__Bin134; s__Bin134 sp009842675
SRR9841429	4.39	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__UBA5794; f__SZUA-232; g__VXMP01; s__VXMP01 sp009841075
SRR9841429	1.33	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__UBA5794; f__SZUA-232; g__VXMP01; s__VXMP01 sp009841105
SRR9841429	5.43	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__UBA5794; f__ZC4RG35; g__Bin76; s__Bin76 sp009837815
SRR9841429	8.54	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales; f__LS-SOB; g__VYGS01; s__VYGS01 sp009841725
SRR9841429	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales; f__LS-SOB; g__VYFG01; s__VYFG01 sp009842505
SRR9841429	0.81	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales; f__JAJDZL01; g__JAJDZL01; s__JAJDZL01 sp022823625
SRR9841429	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales; f__JAJDZL01; g__JAJDZL01; s__JAJDZL01 sp022823405
